fonte;origem;ano;morbidade;estado;sigla_estado;casos
datasus;internações;2015;Demência;Rondônia;RO;7
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de álcool;Rondônia;RO;29
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Rondônia;RO;83
datasus;internações;2015;Esquizofrenia, transtornos esquizotípicos e delirantes;Rondônia;RO;410
datasus;internações;2015;Transtornos de humor [afetivos];Rondônia;RO;146
datasus;internações;2015;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Rondônia;RO;22
datasus;internações;2015;Retardo mental;Rondônia;RO;19
datasus;internações;2015;Outros transtornos mentais e comportamentais;Rondônia;RO;75
datasus;internações;2015;Demência;Acre;AC;-
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de álcool;Acre;AC;219
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Acre;AC;698
datasus;internações;2015;Esquizofrenia, transtornos esquizotípicos e delirantes;Acre;AC;519
datasus;internações;2015;Transtornos de humor [afetivos];Acre;AC;379
datasus;internações;2015;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Acre;AC;11
datasus;internações;2015;Retardo mental;Acre;AC;58
datasus;internações;2015;Outros transtornos mentais e comportamentais;Acre;AC;69
datasus;internações;2015;Demência;Amazonas;AM;2
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de álcool;Amazonas;AM;23
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Amazonas;AM;92
datasus;internações;2015;Esquizofrenia, transtornos esquizotípicos e delirantes;Amazonas;AM;352
datasus;internações;2015;Transtornos de humor [afetivos];Amazonas;AM;156
datasus;internações;2015;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Amazonas;AM;3
datasus;internações;2015;Retardo mental;Amazonas;AM;2
datasus;internações;2015;Outros transtornos mentais e comportamentais;Amazonas;AM;29
datasus;internações;2015;Demência;Roraima;RR;1
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de álcool;Roraima;RR;18
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Roraima;RR;22
datasus;internações;2015;Esquizofrenia, transtornos esquizotípicos e delirantes;Roraima;RR;76
datasus;internações;2015;Transtornos de humor [afetivos];Roraima;RR;34
datasus;internações;2015;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Roraima;RR;2
datasus;internações;2015;Retardo mental;Roraima;RR;3
datasus;internações;2015;Outros transtornos mentais e comportamentais;Roraima;RR;49
datasus;internações;2015;Demência;Pará;PA;8
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de álcool;Pará;PA;92
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Pará;PA;236
datasus;internações;2015;Esquizofrenia, transtornos esquizotípicos e delirantes;Pará;PA;1955
datasus;internações;2015;Transtornos de humor [afetivos];Pará;PA;461
datasus;internações;2015;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Pará;PA;8
datasus;internações;2015;Retardo mental;Pará;PA;60
datasus;internações;2015;Outros transtornos mentais e comportamentais;Pará;PA;68
datasus;internações;2015;Demência;Amapá;AP;-
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de álcool;Amapá;AP;1
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Amapá;AP;2
datasus;internações;2015;Esquizofrenia, transtornos esquizotípicos e delirantes;Amapá;AP;8
datasus;internações;2015;Transtornos de humor [afetivos];Amapá;AP;-
datasus;internações;2015;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Amapá;AP;4
datasus;internações;2015;Retardo mental;Amapá;AP;-
datasus;internações;2015;Outros transtornos mentais e comportamentais;Amapá;AP;1
datasus;internações;2015;Demência;Tocantins;TO;6
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de álcool;Tocantins;TO;115
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Tocantins;TO;152
datasus;internações;2015;Esquizofrenia, transtornos esquizotípicos e delirantes;Tocantins;TO;256
datasus;internações;2015;Transtornos de humor [afetivos];Tocantins;TO;218
datasus;internações;2015;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Tocantins;TO;5
datasus;internações;2015;Retardo mental;Tocantins;TO;36
datasus;internações;2015;Outros transtornos mentais e comportamentais;Tocantins;TO;68
datasus;internações;2015;Demência;Maranhão;MA;5
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de álcool;Maranhão;MA;647
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Maranhão;MA;558
datasus;internações;2015;Esquizofrenia, transtornos esquizotípicos e delirantes;Maranhão;MA;1892
datasus;internações;2015;Transtornos de humor [afetivos];Maranhão;MA;791
datasus;internações;2015;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Maranhão;MA;77
datasus;internações;2015;Retardo mental;Maranhão;MA;90
datasus;internações;2015;Outros transtornos mentais e comportamentais;Maranhão;MA;55
datasus;internações;2015;Demência;Piauí;PI;25
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de álcool;Piauí;PI;330
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Piauí;PI;441
datasus;internações;2015;Esquizofrenia, transtornos esquizotípicos e delirantes;Piauí;PI;1035
datasus;internações;2015;Transtornos de humor [afetivos];Piauí;PI;572
datasus;internações;2015;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Piauí;PI;13
datasus;internações;2015;Retardo mental;Piauí;PI;32
datasus;internações;2015;Outros transtornos mentais e comportamentais;Piauí;PI;87
datasus;internações;2015;Demência;Ceará;CE;53
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de álcool;Ceará;CE;966
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Ceará;CE;1334
datasus;internações;2015;Esquizofrenia, transtornos esquizotípicos e delirantes;Ceará;CE;5400
datasus;internações;2015;Transtornos de humor [afetivos];Ceará;CE;1142
datasus;internações;2015;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Ceará;CE;20
datasus;internações;2015;Retardo mental;Ceará;CE;229
datasus;internações;2015;Outros transtornos mentais e comportamentais;Ceará;CE;210
datasus;internações;2015;Demência;Rio Grande do Norte;RN;5
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de álcool;Rio Grande do Norte;RN;390
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Rio Grande do Norte;RN;235
datasus;internações;2015;Esquizofrenia, transtornos esquizotípicos e delirantes;Rio Grande do Norte;RN;1553
datasus;internações;2015;Transtornos de humor [afetivos];Rio Grande do Norte;RN;638
datasus;internações;2015;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Rio Grande do Norte;RN;22
datasus;internações;2015;Retardo mental;Rio Grande do Norte;RN;38
datasus;internações;2015;Outros transtornos mentais e comportamentais;Rio Grande do Norte;RN;67
datasus;internações;2015;Demência;Paraíba;PB;8
datasus;internações;2015;Transtornos mentais e comportamentais devidos ao uso de álcool;Paraíba;PB;550
