fonte;origem;ano;estado;sigla estado;consulta agendada;consulta no dia;atendimento urgência
sisab;atenção básica;2021;Alagoas;AL;120.797;101.644;4.783
sisab;atenção básica;2021;Santa Catarina;SC;217.454;584.937;25.279
sisab;atenção básica;2021;Goiás;GO;115.682;204.665;1.515
sisab;atenção básica;2021;São Paulo;SP;804.947;919.775;14.519
sisab;atenção básica;2021;Minas Gerais;MG;656.434;853.671;15.131
sisab;atenção básica;2021;Paraíba;PB;115.949;331.294;2.447
sisab;atenção básica;2021;Rondônia;RO;30.590;32.533;187
sisab;atenção básica;2021;Ceará;CE;278.990;441.158;7.560
sisab;atenção básica;2021;Distrito Federal;DF;30.084;58.547;1.313
sisab;atenção básica;2021;Rio de Janeiro;RJ;159.880;225.805;4.485
sisab;atenção básica;2021;Amazonas;AM;40.287;50.483;601
sisab;atenção básica;2021;Acre;AC;14.551;14.650;51
sisab;atenção básica;2021;Rio Grande do Norte;RN;105.666;189.473;2.322
sisab;atenção básica;2021;Amapá;AP;6.486;3.056;53
sisab;atenção básica;2021;Tocantins;TO;36.438;52.423;554
sisab;atenção básica;2021;Roraima;RR;2.586;3.687;40
sisab;atenção básica;2021;Rio Grande do Sul;RS;197.608;445.268;2.533
sisab;atenção básica;2021;Mato Grosso do Sul;MS;32.997;100.017;508
sisab;atenção básica;2021;Paraná;PR;169.359;366.612;6.096
sisab;atenção básica;2021;Pernambuco;BA;322.023;382.849;6.534
sisab;atenção básica;2021;Sergipe;PE;77.085;81.953;2.369
sisab;atenção básica;2021;Bahia;BA;263.098;249.084;7.230
sisab;atenção básica;2021;Pará;PA;85.866;67.426;1.360
sisab;atenção básica;2021;Maranhão;MA;93.203;69.257;1.014
sisab;atenção básica;2021;Mato Grosso;MT;42.828;132.618;1.245
sisab;atenção básica;2021;Piauí;PI;68.513;106.134;1.170
sisab;atenção básica;2021;Espírito Santo;ES;159.885;107.773;1.947
