fonte;origem;ano;morbidade;estado;sigla_estado;casos
datasus;internações;2014;Demência;Rondônia;RO;7
datasus;internações;2014;Transtornos mentais e comportamentais devidos ao uso de álcool;Rondônia;RO;50
datasus;internações;2014;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Rondônia;RO;90
datasus;internações;2014;Esquizofrenia, transtornos esquizotípicos e delirantes;Rondônia;RO;436
datasus;internações;2014;Transtornos de humor [afetivos];Rondônia;RO;122
datasus;internações;2014;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Rondônia;RO;12
datasus;internações;2014;Retardo mental;Rondônia;RO;13
datasus;internações;2014;Outros transtornos mentais e comportamentais;Rondônia;RO;37
datasus;internações;2014;Demência;Acre;AC;2
datasus;internações;2014;Transtornos mentais e comportamentais devidos ao uso de álcool;Acre;AC;267
datasus;internações;2014;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Acre;AC;763
datasus;internações;2014;Esquizofrenia, transtornos esquizotípicos e delirantes;Acre;AC;428
datasus;internações;2014;Transtornos de humor [afetivos];Acre;AC;331
datasus;internações;2014;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Acre;AC;9
datasus;internações;2014;Retardo mental;Acre;AC;48
datasus;internações;2014;Outros transtornos mentais e comportamentais;Acre;AC;72
datasus;internações;2014;Demência;Amazonas;AM;2
datasus;internações;2014;Transtornos mentais e comportamentais devidos ao uso de álcool;Amazonas;AM;35
datasus;internações;2014;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Amazonas;AM;82
datasus;internações;2014;Esquizofrenia, transtornos esquizotípicos e delirantes;Amazonas;AM;348
datasus;internações;2014;Transtornos de humor [afetivos];Amazonas;AM;191
datasus;internações;2014;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Amazonas;AM;1
datasus;internações;2014;Retardo mental;Amazonas;AM;5
datasus;internações;2014;Outros transtornos mentais e comportamentais;Amazonas;AM;16
datasus;internações;2014;Demência;Roraima;RR;-
datasus;internações;2014;Transtornos mentais e comportamentais devidos ao uso de álcool;Roraima;RR;12
datasus;internações;2014;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Roraima;RR;17
