fonte;origem;ano;estado;sigla estado;consulta agendada;consulta no dia;atendimento de urgência
sisab;atenção básica;2014;Maranhao;MA;9.960;4.906;108
sisab;atenção básica;2014;Mato Grosso;MT;1.551;1.513;42
sisab;atenção básica;2014;Piauí;PI;7.472;5.057;197
sisab;atenção básica;2014;Espírito Santo;ES;5.870;2.888;154
sisab;atenção básica;2014;Tocantins;TO;4.026;3.512;204
sisab;atenção básica;2014;Amapá;AP;962;229;11
sisab;atenção básica;2014;Roraima;RR;10;7;0
sisab;atenção básica;2014;Rio Grande do Sul;RS;17.995;37.160;423
sisab;atenção básica;2014;Mato Grosso do Sul;MS;7.441;7.120;149
sisab;atenção básica;2014;Rio de Janeiro;RJ;6.620;3.505;260
sisab;atenção básica;2014;Amazonas;AM;2.307;874;36
sisab;atenção básica;2014;Acre;AC;590;417;7
sisab;atenção básica;2014;Alagoas;AL;2.329;607;27
sisab;atenção básica;2014;Santa Catarina;SC;5.643;5.367;220
sisab;atenção básica;2014;Goiás;GO;6.608;9.260;354
sisab;atenção básica;2014;São Paulo;SP;42.088;16.854;1.777
sisab;atenção básica;2014;Minas Gerais;MG;49.631;30.425;721
sisab;atenção básica;2014;Paraíba;PB;35.054;51.895;878
sisab;atenção básica;2014;Rondônia;RO;1.336;1.416;9
sisab;atenção básica;2014;Ceará;CE;1.827;2.408;17
sisab;atenção básica;2014;Rio Grande do Norte;RN;23.033;11.644;637
sisab;atenção básica;2014;Paraná;PR;17.094;11.410;304
sisab;atenção básica;2014;Pernambuco;PE;12.491;11.484;185
sisab;atenção básica;2014;Sergipe;SE;8.376;3.908;536
sisab;atenção básica;2014;Bahia;BA;17.183;10.028;611
sisab;atenção básica;2014;Pará;PA;3.888;2.583;195
