 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Lista Morb  CID-10 e Unidade da Federação
Lista Morb  CID-10: Demência, Transt mentais e comportamentais dev uso de álcool, Transt mentais comport dev uso outr subst psicoat, Esquizofrenia transt esquizotípicos e delirantes, Transtornos de humor [afetivos], Transt neurót e relacionados com stress e somatof, Retardo mental, Outros transtornos mentais e comportamentais
Período:2018
"Lista Morb  CID-10";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"05 Transtornos mentais e comportamentais";1676;1497;601;220;3128;57;832;4196;3017;7423;2895;4055;5862;3575;1470;5572;16616;2328;10803;55375;22805;14463;39088;1597;2120;9446;5083;225800
".. Demência";9;2;1;1;11;2;4;4;27;41;5;24;82;27;5;112;421;10;642;593;68;178;390;40;11;39;144;2893
".. Transt mentais e comportamentais dev uso álcool";36;70;33;13;56;3;98;697;352;568;235;499;1643;590;158;1364;3862;409;524;6917;4996;3071;6776;209;351;1256;826;35612
".. Transt ment comport dev uso outr subst psicoat";139;296;58;16;259;10;162;470;566;1407;303;612;710;528;221;330;2037;544;686;11399;5931;2905;11286;367;458;1971;443;44114
".. Esquizofrenia transt esquizotípicos e delirant";748;575;314;129;1984;27;335;1865;1123;3632;1553;2002;1969;1720;709;1884;4949;755;6046;17955;5682;2755;5976;434;815;2566;1474;69976
".. Transtornos de humor [afetivos]";436;473;175;43;657;9;185;956;688;1230;695;673;820;331;279;1311;2987;455;1919;11634;4327;4616;12254;326;370;2986;1328;52163
".. Transt neurót e relacionados com stress somatof";34;11;3;-;14;3;3;56;51;61;19;29;54;14;8;62;262;41;92;775;162;124;304;23;17;92;156;2470
".. Retardo mental";44;37;4;5;9;-;1;97;39;192;28;92;128;114;47;79;400;19;294;1806;377;114;530;30;27;66;119;4698
".. Outros transtornos mentais e comportamentais";230;33;13;13;138;3;44;51;171;292;57;124;456;251;43;430;1698;95;600;4296;1262;700;1572;168;71;470;593;13874
"Total";1676;1497;601;220;3128;57;832;4196;3017;7423;2895;4055;5862;3575;1470;5572;16616;2328;10803;55375;22805;14463;39088;1597;2120;9446;5083;225800
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
