fonte;origem;ano;estado;sigla estado;consulta agendada;consulta no dia;atendimento de urgência
sisab;atenção básica;2022;MARANHAO;MA;90.806;81.076;804
sisab;atenção básica;2022;MATO GROSSO;MT;54.401;163.522;1.749
sisab;atenção básica;2022;PIAUI;PI;58.672;110.959;574
sisab;atenção básica;2022;ESPIRITO SANTO;ES;160.833;94.235;1.244
sisab;atenção básica;2022;RIO DE JANEIRO;RJ;238.630;528.677;5.232
sisab;atenção básica;2022;AMAZONAS;AM;42.832;50.485;382
sisab;atenção básica;2022;ACRE;AC;13.029;20.486;68
sisab;atenção básica;2022;RIO GRANDE DO NORTE;RN;105.273;211.410;1.964
sisab;atenção básica;2022;ALAGOAS;AL;95.336;101.974;2.964
sisab;atenção básica;2022;SANTA CATARINA;SC;261.687;650.888;22.504
sisab;atenção básica;2022;GOIAS;GO;146.063;248.331;1.542
sisab;atenção básica;2022;SAO PAULO;SP;1.087.769;1.077.468;11.628
sisab;atenção básica;2022;MINAS GERAIS;MG;759.943;920.645;14.557
sisab;atenção básica;2022;PARAIBA;PB;81.767;298.427;1.531
sisab;atenção básica;2022;RONDONIA;RO;41.676;33.665;225
sisab;atenção básica;2022;CEARA;CE;295.472;520.947;4.318
sisab;atenção básica;2022;PARANA;PA;276.731;527.519;5.017
sisab;atenção básica;2022;PERNAMBUCO;PE;279.638;389.735;5.614
sisab;atenção básica;2022;SERGIPE;SE;75.913;90.824;2.895
sisab;atenção básica;2022;BAHIA;BA;256.845;267.380;5.806
sisab;atenção básica;2022;PARA;PA;96.169;80.121;1.301
sisab;atenção básica;2022;TOCANTINS;TO;41.158;60.020;448
sisab;atenção básica;2022;AMAPA;AP;5.559;2.918;45
sisab;atenção básica;2022;RORAIMA;RR;1.894;5.466;17
sisab;atenção básica;2022;RIO GRANDE DO SUL;RS;244.926;554.049;2.698
sisab;atenção básica;2022;MATO GROSSO DO SUL;MS;41.695;106.160;1.234
