fonte;origem;ano;morbidade;estado;sigla_estado;casos
datasus;internações;2022;Demência;Rondônia;RO;12
datasus;internações;2022;Transtornos mentais e comportamentais devidos ao uso de álcool;Rondônia;RO;28
datasus;internações;2022;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Rondônia;RO;172
datasus;internações;2022;Esquizofrenia, transtornos esquizotípicos e delirantes;Rondônia;RO;629
datasus;internações;2022;Transtornos de humor [afetivos];Rondônia;RO;458
datasus;internações;2022;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Rondônia;RO;28
datasus;internações;2022;Retardo mental;Rondônia;RO;16
datasus;internações;2022;Outros transtornos mentais e comportamentais;Rondônia;RO;139
datasus;internações;2022;Demência;Acre;AC;5
datasus;internações;2022;Transtornos mentais e comportamentais devidos ao uso de álcool;Acre;AC;67
datasus;internações;2022;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Acre;AC;137
datasus;internações;2022;Esquizofrenia, transtornos esquizotípicos e delirantes;Acre;AC;528
datasus;internações;2022;Transtornos de humor [afetivos];Acre;AC;388
datasus;internações;2022;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Acre;AC;14
datasus;internações;2022;Retardo mental;Acre;AC;43
datasus;internações;2022;Outros transtornos mentais e comportamentais;Acre;AC;47
datasus;internações;2022;Demência;Amazonas;AM;3
datasus;internações;2022;Transtornos mentais e comportamentais devidos ao uso de álcool;Amazonas;AM;44
datasus;internações;2022;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Amazonas;AM;48
datasus;internações;2022;Esquizofrenia, transtornos esquizotípicos e delirantes;Amazonas;AM;445
datasus;internações;2022;Transtornos de humor [afetivos];Amazonas;AM;181
datasus;internações;2022;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Amazonas;AM;6
datasus;internações;2022;Retardo mental;Amazonas;AM;3
datasus;internações;2022;Outros transtornos mentais e comportamentais;Amazonas;AM;29
datasus;internações;2022;Demência;Roraima;RR;-
datasus;internações;2022;Transtornos mentais e comportamentais devidos ao uso de álcool;Roraima;RR;9
datasus;internações;2022;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Roraima;RR;14
datasus;internações;2022;Esquizofrenia, transtornos esquizotípicos e delirantes;Roraima;RR;143
datasus;internações;2022;Transtornos de humor [afetivos];Roraima;RR;71
datasus;internações;2022;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Roraima;RR;-
datasus;internações;2022;Retardo mental;Roraima;RR;2
datasus;internações;2022;Outros transtornos mentais e comportamentais;Roraima;RR;8
datasus;internações;2022;Demência;Pará;PA;34
datasus;internações;2022;Transtornos mentais e comportamentais devidos ao uso de álcool;Pará;PA;96
datasus;internações;2022;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Pará;PA;173
datasus;internações;2022;Esquizofrenia, transtornos esquizotípicos e delirantes;Pará;PA;2611
datasus;internações;2022;Transtornos de humor [afetivos];Pará;PA;1067
datasus;internações;2022;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Pará;PA;27
datasus;internações;2022;Retardo mental;Pará;PA;35
datasus;internações;2022;Outros transtornos mentais e comportamentais;Pará;PA;169
datasus;internações;2022;Demência;Amapá;AP;1
datasus;internações;2022;Transtornos mentais e comportamentais devidos ao uso de álcool;Amapá;AP;3
datasus;internações;2022;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Amapá;AP;14
datasus;internações;2022;Esquizofrenia, transtornos esquizotípicos e delirantes;Amapá;AP;78
datasus;internações;2022;Transtornos de humor [afetivos];Amapá;AP;9
datasus;internações;2022;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Amapá;AP;9
datasus;internações;2022;Retardo mental;Amapá;AP;-
datasus;internações;2022;Outros transtornos mentais e comportamentais;Amapá;AP;1
datasus;internações;2022;Demência;Tocantins;TO;8
datasus;internações;2022;Transtornos mentais e comportamentais devidos ao uso de álcool;Tocantins;TO;120
datasus;internações;2022;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Tocantins;TO;63
datasus;internações;2022;Esquizofrenia, transtornos esquizotípicos e delirantes;Tocantins;TO;532
datasus;internações;2022;Transtornos de humor [afetivos];Tocantins;TO;248
