fonte;origem;ano;estado;sigla estado;consulta agendada;consulta no dia;atendimento de urgência
sisab;atenção básica;2013;Minas Gerais;MG;400;509;10
sisab;atenção básica;2013;Paraíba;PB;1.132;1.683;6
sisab;atenção básica;2013;Ceará;CE;19;2;0
sisab;atenção básica;2013;Rio de Janeiro;RJ;6;0;0
sisab;atenção básica;2013;Paraná;PR;18;1;0
sisab;atenção básica;2013;Pernambuco;PB;109;46;0
sisab;atenção básica;2013;Bahia;BA;268;222;25
sisab;atenção básica;2013;Pará;PA;0;1;0
sisab;atenção básica;2013;Santa Catarina;SC;152;335;2
sisab;atenção básica;2013;Goiás;GO;159;184;3
sisab;atenção básica;2013;São Paulo;SP;486;109;20
sisab;atenção básica;2013;Rio Grande Do Norte;RN;1.249;801;28
sisab;atenção básica;2013;Maranhão;MA;15;77;0
sisab;atenção básica;2013;Piauí;PI;18;7;0
sisab;atenção básica;2013;Espírito Santo;ES;52;0;0
sisab;atenção básica;2013;Amapá;AP;170;25;0
sisab;atenção básica;2013;Tocantins;TO;0;1;0
