fonte;origem;ano;morbidade;estado;sigla_estado;casos
datasus;internações;2016;Demência;Rondônia;RO;18
datasus;internações;2016;Transtornos mentais e comportamentais devidos ao uso de álcool;Rondônia;RO;34
datasus;internações;2016;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Rondônia;RO;88
datasus;internações;2016;Esquizofrenia, transtornos esquizotípicos e delirantes;Rondônia;RO;583
datasus;internações;2016;Transtornos de humor [afetivos];Rondônia;RO;207
datasus;internações;2016;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Rondônia;RO;9
datasus;internações;2016;Retardo mental;Rondônia;RO;29
datasus;internações;2016;Outros transtornos mentais e comportamentais;Rondônia;RO;101
datasus;internações;2016;Demência;Acre;AC;3
datasus;internações;2016;Transtornos mentais e comportamentais devidos ao uso de álcool;Acre;AC;113
datasus;internações;2016;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Acre;AC;447
datasus;internações;2016;Esquizofrenia, transtornos esquizotípicos e delirantes;Acre;AC;522
datasus;internações;2016;Transtornos de humor [afetivos];Acre;AC;381
datasus;internações;2016;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Acre;AC;7
datasus;internações;2016;Retardo mental;Acre;AC;46
datasus;internações;2016;Outros transtornos mentais e comportamentais;Acre;AC;48
datasus;internações;2016;Demência;Amazonas;AM;2
datasus;internações;2016;Transtornos mentais e comportamentais devidos ao uso de álcool;Amazonas;AM;18
datasus;internações;2016;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Amazonas;AM;88
datasus;internações;2016;Esquizofrenia, transtornos esquizotípicos e delirantes;Amazonas;AM;429
datasus;internações;2016;Transtornos de humor [afetivos];Amazonas;AM;268
datasus;internações;2016;"Transtornos neuróticos e relacionados com ""stress"" e transtornos somatoformes";Amazonas;AM;1
datasus;internações;2016;Retardo mental;Amazonas;AM;2
datasus;internações;2016;Outros transtornos mentais e comportamentais;Amazonas;AM;38
datasus;internações;2016;Demência;Roraima;RR;1
datasus;internações;2016;Transtornos mentais e comportamentais devidos ao uso de álcool;Roraima;RR;25
datasus;internações;2016;Transtornos mentais e comportamentais devidos ao uso de outras substâncias psicoativas;Roraima;RR;23
datasus;internações;2016;Esquizofrenia, transtornos esquizotípicos e delirantes;Roraima;RR;149
datasus;internações;2016;Transtornos de humor [afetivos];Roraima;RR;45
