fonte;origem;ano;estado;sigla estado;consulta agendada;consulta no dia;atendimento de urgência
sisab;atenção básica;2013;MARANHAO;MA;87.197;42.602;718
sisab;atenção básica;2013;MATO GROSSO;MT;72.247;96.016;2.384
sisab;atenção básica;2013;PIAUI;PI;90.310;67963;1650
sisab;atenção básica;2013;ESPIRITO SANTO;ES;135.173;52.315;1.759
sisab;atenção básica;2013;RIO DE JANEIRO;RJ;249.493;574.969;6.330
sisab;atenção básica;2013;AMAZONAS;AM;31.498;17.101;483
sisab;atenção básica;2013;ACRE;AC;11.628;8.630;108
sisab;atenção básica;2013;RIO GRANDE DO NORTE;RN;143.384;109.117;4.060
sisab;atenção básica;2013;ALAGOAS;AL;136.692;67.124;5.730
sisab;atenção básica;2013;SANTA CATARINA;SC;363.478;390.427;15.387
sisab;atenção básica;2013;GOIAS;GO;152.666;144.226;2.247
sisab;atenção básica;2013;SAO PAULO;SP;776.677;594.806;18.641
sisab;atenção básica;2013;MINAS GERAIS;MG;935.619;654.190;23.523
sisab;atenção básica;2013;PARAIBA;PB;181.600;247.811;3.915
sisab;atenção básica;2013;RONDONIA;RO;41.673;28.368;416
sisab;atenção básica;2013;CEARA;CE;256.550;300.594;5.037
sisab;atenção básica;2013;PARANA;PA;193.729;238.918;4.858
sisab;atenção básica;2013;PERNAMBUCO;PE;379.744;263.603;6.255
sisab;atenção básica;2013;SERGIPE;SE;77.124;39.231;1.915
sisab;atenção básica;2013;BAHIA;BA;266.747;130.823;7.638
sisab;atenção básica;2013;PARA;PA;76.012;35.575;1.202
sisab;atenção básica;2013;TOCANTINS;TO;46.749;35.425;848
sisab;atenção básica;2013;AMAPA;AP;6.265;1.438;52
sisab;atenção básica;2013;RORAIMA;RR;1.997;2.537;41
sisab;atenção básica;2013;RIO GRANDE DO SUL;RS;261.470;366.315;4.441
sisab;atenção básica;2013;MATO GROSSO DO SUL;MS;73.598;95.623;1.269
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
