fonte;origem;;;;;
;;;;;;
;;;;;;
fonte;origem;ano;morbidade;estado;sigla;casos
datasus;internações;2020;Demência;Rondônia;RO;-
datasus;internações;2020;Transtornos mentais e comportamentais devido ao uso de álcool;Rondônia;RO;47
datasus;internações;2020;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Rondônia;RO;122
datasus;internações;2020;Esquizofrenia e transtornos esquizotípicos e delirantes;Rondônia;RO;618
datasus;internações;2020;Transtornos de humor [afetivos];Rondônia;RO;513
datasus;internações;2020;Transtornos neuróticos e relacionados com estresse somatoformes;Rondônia;RO;21
datasus;internações;2020;Retardo mental;Rondônia;RO;20
datasus;internações;2020;Outros transtornos mentais e comportamentais;Rondônia;RO;151
datasus;internações;2020;Demência;Acre;AC;1
datasus;internações;2020;Transtornos mentais e comportamentais devido ao uso de álcool;Acre;AC;58
datasus;internações;2020;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Acre;AC;95
datasus;internações;2020;Esquizofrenia e transtornos esquizotípicos e delirantes;Acre;AC;427
datasus;internações;2020;Transtornos de humor [afetivos];Acre;AC;367
datasus;internações;2020;Transtornos neuróticos e relacionados com estresse somatoformes;Acre;AC;9
datasus;internações;2020;Retardo mental;Acre;AC;30
datasus;internações;2020;Outros transtornos mentais e comportamentais;Acre;AC;114
datasus;internações;2020;Demência;Amazonas;AM;5
datasus;internações;2020;Transtornos mentais e comportamentais devido ao uso de álcool;Amazonas;AM;15
datasus;internações;2020;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Amazonas;AM;25
datasus;internações;2020;Esquizofrenia e transtornos esquizotípicos e delirantes;Amazonas;AM;55
datasus;internações;2020;Transtornos de humor [afetivos];Amazonas;AM;45
datasus;internações;2020;Transtornos neuróticos e relacionados com estresse somatoformes;Amazonas;AM;9
datasus;internações;2020;Retardo mental;Amazonas;AM;-
datasus;internações;2020;Outros transtornos mentais e comportamentais;Amazonas;AM;29
datasus;internações;2020;Demência;Roraima;RR;2
datasus;internações;2020;Transtornos mentais e comportamentais devido ao uso de álcool;Roraima;RR;7
datasus;internações;2020;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Roraima;RR;13
datasus;internações;2020;Esquizofrenia e transtornos esquizotípicos e delirantes;Roraima;RR;109
datasus;internações;2020;Transtornos de humor [afetivos];Roraima;RR;26
datasus;internações;2020;Transtornos neuróticos e relacionados com estresse somatoformes;Roraima;RR;-
datasus;internações;2020;Retardo mental;Roraima;RR;3
datasus;internações;2020;Outros transtornos mentais e comportamentais;Roraima;RR;2
datasus;internações;2020;Demência;Pará;PA;22
datasus;internações;2020;Transtornos mentais e comportamentais devido ao uso de álcool;Pará;PA;77
datasus;internações;2020;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Pará;PA;138
datasus;internações;2020;Esquizofrenia e transtornos esquizotípicos e delirantes;Pará;PA;2039
datasus;internações;2020;Transtornos de humor [afetivos];Pará;PA;829
datasus;internações;2020;Transtornos neuróticos e relacionados com estresse somatoformes;Pará;PA;11
datasus;internações;2020;Retardo mental;Pará;PA;29
datasus;internações;2020;Outros transtornos mentais e comportamentais;Pará;PA;165
datasus;internações;2020;Demência;Amapá;AP;1
datasus;internações;2020;Transtornos mentais e comportamentais devido ao uso de álcool;Amapá;AP;5
datasus;internações;2020;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Amapá;AP;14
datasus;internações;2020;Esquizofrenia e transtornos esquizotípicos e delirantes;Amapá;AP;65
datasus;internações;2020;Transtornos de humor [afetivos];Amapá;AP;8
datasus;internações;2020;Transtornos neuróticos e relacionados com estresse somatoformes;Amapá;AP;1
datasus;internações;2020;Retardo mental;Amapá;AP;-
datasus;internações;2020;Outros transtornos mentais e comportamentais;Amapá;AP;4
datasus;internações;2020;Demência;Tocantins;TO;3
datasus;internações;2020;Transtornos mentais e comportamentais devido ao uso de álcool;Tocantins;TO;134
datasus;internações;2020;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Tocantins;TO;111
datasus;internações;2020;Esquizofrenia e transtornos esquizotípicos e delirantes;Tocantins;TO;551
datasus;internações;2020;Transtornos de humor [afetivos];Tocantins;TO;167
datasus;internações;2020;Transtornos neuróticos e relacionados com estresse somatoformes;Tocantins;TO;3
datasus;internações;2020;Retardo mental;Tocantins;TO;6
datasus;internações;2020;Outros transtornos mentais e comportamentais;Tocantins;TO;46
datasus;internações;2020;Demência;Maranhão;MA;3
datasus;internações;2020;Transtornos mentais e comportamentais devido ao uso de álcool;Maranhão;MA;766
datasus;internações;2020;Transtornos mentais comportamentais devido o uso de outras substancias psicoativas;Maranhão;MA;466
datasus;internações;2020;Esquizofrenia e transtornos esquizotípicos e delirantes;Maranhão;MA;2123
datasus;internações;2020;Transtornos de humor [afetivos];Maranhão;MA;1055
datasus;internações;2020;Transtornos neuróticos e relacionados com estresse somatoformes;Maranhão;MA;72
datasus;internações;2020;Retardo mental;Maranhão;MA;164
datasus;internações;2020;Outros transtornos mentais e comportamentais;Maranhão;MA;92
