fonte;origem;ano;estado;sigla estado;consulta agendada;consulta no dia;atendimento urgência
sisab;atenção básica;2020;Maranhão;MA;71.119;59.755;2.067
sisab;atenção básica;2020;Mato Grosso;MT;43.225;113.470;1.397
sisab;atenção básica;2020;Piauí;PI;59.192;94.447;3.383
sisab;atenção básica;2020;Espírito Santo;ES;128.507;117.192;4.274
sisab;atenção básica;2020;Tocantins;TO;30.537;46.168;772
sisab;atenção básica;2020;Roraima;RR;2.113;3.039;69
sisab;atenção básica;2020;Amapá;AP;5.094;1.914;122
sisab;atenção básica;2020;Rio Grande do Sul;RS;146.076;350.192;3.434
sisab;atenção básica;2020;Mato Grosso do Sul;MS;26.028;90.524;731
sisab;atenção básica;2020;Alagoas;AL;103.999;115.162;12.045
sisab;atenção básica;2020;Santa Catarina;SC;167.383;491.873;20.756
sisab;atenção básica;2020;Goiás;GO;128.381;190.157;2.177
sisab;atenção básica;2020;São Paulo;SP;583.131;832.327;15.822
sisab;atenção básica;2020;Minas Gerais;MG;604.757;829.385;22.896
sisab;atenção básica;2020;Paraíba;PB;123.034;345.735;5.642
sisab;atenção básica;2020;Rondônia;RO;26.406;34.998;256
sisab;atenção básica;2020;Ceará;CE;254.864;452.451;12.746
sisab;atenção básica;2020;Distrito Federal;DF;18.195;47.752;1.151
sisab;atenção básica;2020;Rio de Janeiro;RJ;138.762;219.792;5.141
sisab;atenção básica;2020;Amazonas;AM;27.321;35.546;601
sisab;atenção básica;2020;Acre;AC;9.217;12.043;97
sisab;atenção básica;2020;rio grande do Norte;RN;105.924;185.877;6.347
sisab;atenção básica;2020;Paraná;PR;113.617;263.200;4.449
sisab;atenção básica;2020;Pernambuco;PE;296.024;402.764;14.021
sisab;atenção básica;2020;Sergipe;SE;56.207;87.025;6.531
sisab;atenção básica;2020;Bahia;BA;203.481;237.316;15.439
sisab;atenção básica;2020;Pará;PA;68.866;63.561;2.410
