fonte;origem;ano;estado;sigla estado;consulta agendada;consulta no dia;atendimento de urgência
sisab;atenção básica;2013;MARANHAO;MA;49.189;53.340;514
sisab;atenção básica;2013;MATO GROSSO;MT;36.166;100.885;913
sisab;atenção básica;2013;PIAUI;PI;37.511;74.188;331
sisab;atenção básica;2013;ESPIRITO SANTO;ES;99.830;53.245;1.647
sisab;atenção básica;2013;RIO DE JANEIRO;RJ;185.832;451.306;3.078
sisab;atenção básica;2013;AMAZONAS;AM;24.160;34.995;495
sisab;atenção básica;2013;ACRE;AC;9.275;14.033;56
sisab;atenção básica;2013;RIO GRANDE DO NORTE;RN;59.351;132.959;506
sisab;atenção básica;2013;ALAGOAS;AL;49.141;66.228;1.725
sisab;atenção básica;2013;SANTA CATARINA;SC;189.757;446.156;12.933
sisab;atenção básica;2013;GOIAS;GO;105.898;172.287;1.094
sisab;atenção básica;2013;SAO PAULO;SP;821.815;734.805;10.619
sisab;atenção básica;2013;MINAS GERAIS;MG;507.373;616.746;8.243
sisab;atenção básica;2013;PARAIBA;PB;39.309;165.864;772
sisab;atenção básica;2013;RONDONIA;RO;27.623;19.754;112
sisab;atenção básica;2013;CEARA;CE;199.048;392.534;2.556
sisab;atenção básica;2013;PARANA;PA;221.476;388.160;3.219
sisab;atenção básica;2013;PERNAMBUCO;PE;150.483;223.451;2.888
sisab;atenção básica;2013;SERGIPE;SE;44.102;55.653;1.940
sisab;atenção básica;2013;BAHIA;BA;156.473;169.547;3.916
sisab;atenção básica;2013;PARA;PA;59.106;58.736;702
sisab;atenção básica;2013;TOCANTINS;TO;26.238;36.089;341
sisab;atenção básica;2013;AMAPA;AP;3.511;2.281;29
sisab;atenção básica;2013;RORAIMA;RR;1.101;3.960;14
sisab;atenção básica;2013;RIO GRANDE DO SUL;RS;189.096;408.868;2.461
sisab;atenção básica;2013;MATO GROSSO DO SUL;MS;27.600;67.353;1.153
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
